frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
38,910,465,101,70,7070,6814.8,0.9639038189533239,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
39,907,464,106,74,7844,6969.6,0.9857991513437059,706.0,706.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
40,910,466,101,70,7070,7097.2,1.0038472418670439,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
41,908,466,101,70,7070,7097.2,1.0038472418670439,-387.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
42,905,465,106,74,7844,7379.6,1.0437906647807638,387.0,387.0,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
43,905,466,106,74,7844,7534.4,1.0656859971711456,387.0,387.0,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
44,902,465,111,77,8547,7675.0,1.0855728429985856,351.5,387.0,2,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
45,904,469,106,74,7844,7829.8,1.1074681753889675,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
46,902,470,106,74,7844,7984.6,1.1293635077793494,-351.5,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
47,900,470,106,74,7844,7984.6,1.1293635077793494,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
48,898,471,106,74,7844,7984.6,1.1293635077793494,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
49,890,468,117,81,9477,8170.6,1.1556718528995757,816.5,816.5,0,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
50,894,471,111,77,8547,8311.2,1.1755586987270157,351.5,816.5,1,APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
51,896,473,106,74,7844,8311.2,1.1755586987270157,-816.5,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
52,888,472,111,77,8547,8451.8,1.1954455445544554,0.0,0.0,0,MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0,0.0,0,success
53,888,473,111,77,8547,8592.4,1.2153323903818953,351.5,351.5,0,APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0,0.7666195190947688,0,success
54,884,472,117,81,9477,8592.4,1.2153323903818953,465.0,465.0,1,APPROACHING,True,2,🔒 NO OVERTAKE OPPORTUNITY,0,0.7666195190947688,0,success
55,880,470,123,85,10455,8974.0,1.2693069306930693,954.0,954.0,2,APPROACHING,True,3,🔒 NO OVERTAKE OPPORTUNITY,0,3.4653465346534675,0,success
56,882,473,117,81,9477,9300.6,1.3155021216407357,0.0,0.0,0,MOVING AWAY,False,4,🔒 NO OVERTAKE OPPORTUNITY,0,5.7751060820367845,0,success
57,878,474,117,81,9477,9486.6,1.3418104667609618,-489.0,0.0,0,MOVING AWAY,False,6,🔒 NO OVERTAKE OPPORTUNITY,0,7.090523338048093,0,success
58,878,474,117,81,9477,9672.6,1.3681188118811882,0.0,0.0,0,MOVING AWAY,False,8,🔒 NO OVERTAKE OPPORTUNITY,0,8.405940594059413,0,success
59,876,475,117,81,9477,9672.6,1.3681188118811882,0.0,0.0,0,MOVING AWAY,False,10,👀 WATCHING FOR OVERTAKE,0,8.405940594059413,0,success
60,880,479,106,74,7844,9150.4,1.2942574257425743,-816.5,0.0,0,MOVING AWAY,False,11,👀 WATCHING FOR OVERTAKE,0,4.712871287128716,0,success
61,870,475,117,81,9477,9150.4,1.2942574257425743,0.0,0.0,0,MOVING AWAY,False,12,👀 WATCHING FOR OVERTAKE,0,4.712871287128716,0,success
62,870,476,117,81,9477,9150.4,1.2942574257425743,816.5,816.5,0,APPROACHING,True,14,👀 WATCHING FOR OVERTAKE,0,4.712871287128716,0,success
63,868,476,117,81,9477,9150.4,1.2942574257425743,0.0,0.0,0,MOVING AWAY,False,14,👀 WATCHING FOR OVERTAKE,0,4.712871287128716,0,success
64,866,476,117,81,9477,9150.4,1.2942574257425743,0.0,0.0,0,MOVING AWAY,False,15,👀 WATCHING FOR OVERTAKE,0,4.712871287128716,0,success
65,865,479,111,77,8547,9291.0,1.3141442715700142,-465.0,0.0,0,MOVING AWAY,False,15,👀 WATCHING FOR OVERTAKE,0,5.7072135785007125,0,success
66,859,474,123,85,10455,9486.6,1.3418104667609618,489.0,489.0,0,APPROACHING,True,18,👀 WATCHING FOR OVERTAKE,0,7.090523338048093,30,success
67,857,476,117,81,9477,9486.6,1.3418104667609618,465.0,489.0,1,APPROACHING,True,21,👀 WATCHING FOR OVERTAKE,0,7.090523338048093,30,success
68,853,475,123,85,10455,9682.2,1.3694766619519096,0.0,0.0,0,MOVING AWAY,False,21,👀 WATCHING FOR OVERTAKE,0,8.473833097595485,0,success
69,849,475,123,85,10455,9877.8,1.397142857142857,489.0,489.0,0,APPROACHING,True,24,👀 WATCHING FOR OVERTAKE,0,9.857142857142852,30,success
70,845,473,129,89,11481,10464.6,1.4801414427157003,513.0,513.0,1,APPROACHING,True,28,📉 LOW OVERTAKE CHANCE,0,14.007072135785013,30,success
71,847,476,123,85,10455,10464.6,1.4801414427157003,0.0,0.0,0,MOVING AWAY,False,29,📉 LOW OVERTAKE CHANCE,0,14.007072135785013,0,success
72,840,476,123,85,10455,10660.2,1.5078076379066478,-513.0,0.0,0,MOVING AWAY,False,29,📉 LOW OVERTAKE CHANCE,0,0.2602545968882616,0,success
73,836,475,129,89,11481,10865.4,1.5368316831683169,513.0,513.0,0,APPROACHING,True,32,📉 LOW OVERTAKE CHANCE,0,1.2277227722772288,30,success
74,831,475,129,89,11481,11070.6,1.5658557284299859,513.0,513.0,1,APPROACHING,True,35,📉 LOW OVERTAKE CHANCE,0,2.1951909476661964,30,success
75,830,475,129,89,11481,11070.6,1.5658557284299859,0.0,0.0,0,MOVING AWAY,False,35,📉 LOW OVERTAKE CHANCE,0,2.1951909476661964,0,success
76,825,473,135,94,12690,11517.6,1.629080622347949,604.5,604.5,0,APPROACHING,True,34,📉 LOW OVERTAKE CHANCE,0,4.302687411598302,30,success
77,820,474,135,94,12690,11964.6,1.6923055162659124,604.5,604.5,1,APPROACHING,True,34,📉 LOW OVERTAKE CHANCE,0,6.4101838755304135,30,success
78,819,474,135,94,12690,12206.4,1.7265063649222065,0.0,0.0,0,MOVING AWAY,False,35,📉 LOW OVERTAKE CHANCE,0,7.550212164073551,0,success
79,812,474,135,94,12690,12448.2,1.760707213578501,0.0,0.0,0,MOVING AWAY,False,32,📉 LOW OVERTAKE CHANCE,0,8.690240452616697,0,success
80,812,474,135,94,12690,12690.0,1.7949080622347948,0.0,0.0,0,MOVING AWAY,False,28,📉 LOW OVERTAKE CHANCE,0,9.830268741159827,0,success
81,806,472,142,98,13916,12935.2,1.8295898161244697,613.0,613.0,0,APPROACHING,True,31,📉 LOW OVERTAKE CHANCE,0,10.986327204148989,30,success
82,807,474,135,94,12690,12935.2,1.8295898161244697,0.0,0.0,0,MOVING AWAY,False,31,📉 LOW OVERTAKE CHANCE,0,10.986327204148989,0,success
83,801,472,142,98,13916,13180.4,1.8642715700141441,0.0,0.0,0,MOVING AWAY,False,29,📉 LOW OVERTAKE CHANCE,0,12.142385667138138,0,success
84,798,472,142,98,13916,13425.6,1.898953323903819,613.0,613.0,0,APPROACHING,True,31,📉 LOW OVERTAKE CHANCE,0,13.298444130127299,30,success
