frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
110,1.1092436974789917,0.0,MOVING AWAY,0,0.0
111,1.1092436974789917,0.0,MOVING AWAY,0,0.0
112,1.2026143790849673,0.0,MOVING AWAY,1,0.0
113,1.2026143790849673,0.0,MOVING AWAY,2,0.0
114,1.2026143790849673,0.0,MOVING AWAY,3,0.0
115,1.165266106442577,180.0,APPROACHING,3,0.0
116,1.1092436974789917,180.0,APPROACHING,3,0.0
117,1.1092436974789917,180.0,APPROACHING,3,0.0
118,1.1092436974789917,180.0,APPROACHING,3,0.0
119,1.2026143790849673,180.0,APPROACHING,4,0.0
120,1.1465919701213818,-60.0,MOVING AWAY,4,0.0
121,1.3404917522564581,-60.0,MOVING AWAY,5,0.0
122,1.2026143790849673,-60.0,MOVING AWAY,5,0.0
123,1.2026143790849673,-60.0,MOVING AWAY,5,0.0
124,1.2026143790849673,-60.0,MOVING AWAY,5,0.0
125,1.2301898537192655,268.5999999999999,APPROACHING,6,0.0
126,1.2026143790849673,268.5999999999999,APPROACHING,7,0.0
127,1.2026143790849673,268.5999999999999,APPROACHING,8,0.0
128,1.2026143790849673,268.5999999999999,APPROACHING,9,0.0
129,1.3404917522564581,268.5999999999999,APPROACHING,13,0.0
130,1.2577653283535637,88.59999999999991,APPROACHING,14,0.0
131,1.2026143790849673,88.59999999999991,APPROACHING,14,0.0
132,1.2026143790849673,88.59999999999991,APPROACHING,14,0.0
133,1.2026143790849673,88.59999999999991,APPROACHING,14,0.0
134,1.2026143790849673,88.59999999999991,APPROACHING,14,0.0
135,1.2301898537192655,-88.59999999999991,MOVING AWAY,14,0.0
136,1.485838779956427,-88.59999999999991,MOVING AWAY,15,0.0
137,1.485838779956427,-88.59999999999991,MOVING AWAY,16,0.0
138,1.485838779956427,-88.59999999999991,MOVING AWAY,18,0.0
139,1.485838779956427,-88.59999999999991,MOVING AWAY,15,0.0
140,1.485838779956427,821.4000000000001,APPROACHING,20,0.0
141,1.485838779956427,821.4000000000001,APPROACHING,24,0.0
142,1.485838779956427,821.4000000000001,APPROACHING,28,0.0
143,1.485838779956427,821.4000000000001,APPROACHING,33,0.0
144,1.6184251478369125,821.4000000000001,APPROACHING,36,0.0
145,1.5707438530967943,272.8000000000002,APPROACHING,39,0.0
146,1.7777777777777777,272.8000000000002,APPROACHING,42,0.0
