frame,x,y,width,height,box_area,area_ratio,status,closer_chance,tracking
548,962,480,106,70,7420,1.0568023660403618,📈 GETTING CLOSER,100,success
549,961,480,106,70,7420,1.0757364880538158,📈 GETTING CLOSER,100,success
550,961,480,106,70,7420,1.0557468484106884,📈 GETTING CLOSER,100,success
551,962,482,101,67,6767,1.0371645656071256,📈 GETTING CLOSER,74,success
552,961,483,101,67,6767,1.0,📉 MOVING AWAY,100,success
553,962,483,101,67,6767,0.9641671468159245,📉 MOVING AWAY,28,success
554,961,483,101,67,6767,0.9295956873315364,📉 MOVING AWAY,0,success
555,961,483,101,67,6767,0.9119946091644204,📉 MOVING AWAY,0,success
556,962,483,101,67,6767,0.928334293631849,📉 MOVING AWAY,0,success
557,963,483,101,67,6767,0.9452701570095546,📉 MOVING AWAY,0,success
558,960,481,106,70,7420,0.9814177171964373,📉 MOVING AWAY,62,success
559,960,481,106,70,7420,1.0189341220134538,📈 GETTING CLOSER,37,success
560,961,481,106,70,7420,1.057898625683464,📈 GETTING CLOSER,100,success
561,961,482,106,70,7420,1.0771981675779518,📈 GETTING CLOSER,100,success
562,963,484,101,67,6767,1.0771981675779518,📈 GETTING CLOSER,100,success
563,964,484,101,67,6767,1.0378682440269078,📈 GETTING CLOSER,75,success
564,965,485,101,67,6767,1.0,📉 MOVING AWAY,100,success
565,965,485,101,67,6767,0.9635134380063698,📉 MOVING AWAY,27,success
566,964,484,106,70,7420,0.9462507202238868,📉 MOVING AWAY,0,success
567,967,485,101,67,6767,0.9462507202238868,📉 MOVING AWAY,0,success
568,970,487,96,64,6144,0.9461082863049672,📉 MOVING AWAY,0,success
569,970,488,96,64,6144,0.9459605588913235,📉 MOVING AWAY,0,success
570,970,488,96,64,6144,0.9458072372999304,📉 MOVING AWAY,0,success
571,970,487,101,67,6767,0.9268731152864764,📉 MOVING AWAY,0,success
572,969,486,106,70,7420,0.9458072372999304,📉 MOVING AWAY,0,success
573,973,487,101,67,6767,0.9816034253654214,📉 MOVING AWAY,63,success
574,975,488,101,67,6767,1.0187413513025692,📈 GETTING CLOSER,37,success
575,975,488,101,67,6767,1.0572978938655384,📈 GETTING CLOSER,100,success
576,975,487,106,70,7420,1.0993242820496778,📈 GETTING CLOSER,100,success
577,977,489,101,67,6767,1.0572978938655384,📈 GETTING CLOSER,100,success
578,979,490,101,67,6767,1.037482702605138,📈 GETTING CLOSER,74,success
579,980,490,101,67,6767,1.0183965746345784,📈 GETTING CLOSER,36,success
580,979,491,101,67,6767,1.0,📉 MOVING AWAY,100,success
581,983,493,96,64,6144,0.9451068552403176,📉 MOVING AWAY,0,success
582,985,495,91,61,5551,0.9277429830665738,📉 MOVING AWAY,0,success
583,987,495,91,61,5551,0.8924843423799582,📉 MOVING AWAY,0,success
584,987,495,91,61,5551,0.8572257016933426,📉 MOVING AWAY,0,success
585,986,494,96,64,6144,0.839161447459986,📉 MOVING AWAY,0,success
586,988,496,91,61,5551,0.8535469107551489,📉 MOVING AWAY,0,success
587,988,496,91,61,5551,0.8859857482185274,📉 MOVING AWAY,0,success
588,988,497,91,61,5551,0.9209876543209877,📉 MOVING AWAY,0,success
589,988,497,91,61,5551,0.9588688946015425,📉 MOVING AWAY,17,success
590,986,496,96,64,6144,0.9795100376628314,📉 MOVING AWAY,59,success
591,984,497,96,64,6144,1.0209185833215746,📈 GETTING CLOSER,41,success
592,983,497,96,64,6144,1.0418371666431494,📈 GETTING CLOSER,83,success
593,982,497,96,64,6144,1.062755749964724,📈 GETTING CLOSER,100,success
594,978,495,101,67,6767,1.1056511923239736,📈 GETTING CLOSER,100,success
595,977,495,101,67,6767,1.127628051361648,📈 GETTING CLOSER,100,success
596,970,493,106,70,7420,1.1486126947928543,📈 GETTING CLOSER,100,success
597,970,494,101,67,6767,1.1466445452698584,📈 GETTING CLOSER,100,success
598,964,493,106,70,7420,1.166428784810967,📈 GETTING CLOSER,100,success
599,960,492,106,70,7420,1.1420093800848674,📈 GETTING CLOSER,100,success
600,960,493,101,67,6767,1.1197522367515487,📈 GETTING CLOSER,100,success
601,954,491,106,70,7420,1.0767703507610855,📈 GETTING CLOSER,100,success
602,950,491,106,70,7420,1.0762439096412224,📈 GETTING CLOSER,100,success
603,944,490,106,70,7420,1.0371645656071256,📈 GETTING CLOSER,74,success
604,940,489,106,70,7420,1.018243280996815,📈 GETTING CLOSER,36,success
605,941,490,101,67,6767,1.018243280996815,📈 GETTING CLOSER,36,success
606,928,487,111,74,8214,1.0404257696820696,📈 GETTING CLOSER,80,success
607,925,487,111,74,8214,1.0435701155101929,📈 GETTING CLOSER,87,success
608,918,487,111,74,8214,1.0653551732652895,📈 GETTING CLOSER,100,success
609,913,487,111,74,8214,1.087140231020386,📈 GETTING CLOSER,100,success
610,908,486,116,78,9048,1.1497242571405053,📈 GETTING CLOSER,100,success
611,901,487,111,74,8214,1.1252114604870975,📈 GETTING CLOSER,100,success
612,902,489,106,70,7420,1.0808465886683318,📈 GETTING CLOSER,100,success
613,895,488,106,70,7420,1.0382961188802184,📈 GETTING CLOSER,76,success
614,890,488,106,70,7420,0.9974509754435554,📉 MOVING AWAY,94,success
615,886,488,106,70,7420,0.9043050782741505,📉 MOVING AWAY,0,success
616,880,488,106,70,7420,0.8853570064910272,📉 MOVING AWAY,0,success
617,880,488,106,70,7420,0.9024568231573826,📉 MOVING AWAY,0,success
618,872,486,111,74,8214,0.9399245956940173,📉 MOVING AWAY,0,success
619,866,483,116,78,9048,1.0,📉 MOVING AWAY,100,success
620,865,483,116,78,9048,1.0859238929645854,📈 GETTING CLOSER,100,success
621,857,480,122,81,9882,1.1755256064690027,📈 GETTING CLOSER,100,success
622,860,482,116,78,9048,1.2194070080862534,📈 GETTING CLOSER,100,success
623,858,481,116,78,9048,1.2158653084921094,📈 GETTING CLOSER,100,success
624,857,481,116,78,9048,1.1657810839532412,📈 GETTING CLOSER,100,success
625,853,479,122,81,9882,1.1399270959902794,📈 GETTING CLOSER,100,success
626,846,475,128,86,11008,1.1013941117123727,📈 GETTING CLOSER,100,success
627,847,476,122,81,9882,1.0801945181255526,📈 GETTING CLOSER,100,success
628,845,475,122,81,9882,1.0787428918696012,📈 GETTING CLOSER,100,success
629,841,472,128,86,11008,1.1212831531883491,📈 GETTING CLOSER,100,success
630,839,471,128,86,11008,1.1253517523663341,📈 GETTING CLOSER,100,success
631,836,470,128,86,11008,1.0989715618103844,📈 GETTING CLOSER,100,success
632,838,471,122,81,9882,1.0802160923303594,📈 GETTING CLOSER,100,success
633,833,471,122,81,9882,1.0620900567381595,📈 GETTING CLOSER,100,success
634,833,471,122,81,9882,1.0,📉 MOVING AWAY,100,success
635,832,470,122,81,9882,0.9573387891187392,📉 MOVING AWAY,14,success
636,833,473,116,78,9048,0.9202091384405547,📉 MOVING AWAY,0,success
637,833,474,116,78,9048,0.9044100932030006,📉 MOVING AWAY,0,success
638,835,478,111,74,8214,0.8728120027278926,📉 MOVING AWAY,0,success
639,834,479,111,74,8214,0.8595486043900741,📉 MOVING AWAY,0,success
640,834,481,111,74,8214,0.8456941586195978,📉 MOVING AWAY,0,success
641,834,483,111,74,8214,0.8626482213438734,📉 MOVING AWAY,0,success
642,833,484,111,74,8214,0.860248837501571,📉 MOVING AWAY,0,success
643,832,485,111,74,8214,0.8913921083474411,📉 MOVING AWAY,0,success
644,832,486,111,74,8214,0.9248750168896095,📉 MOVING AWAY,0,success
645,831,486,111,74,8214,0.9609715007721465,📉 MOVING AWAY,21,success
646,829,485,116,78,9048,1.0,📉 MOVING AWAY,100,success
647,829,487,116,78,9048,1.0406135865595325,📈 GETTING CLOSER,81,success
648,829,488,116,78,9048,1.0609203798392988,📈 GETTING CLOSER,100,success
649,825,486,122,81,9882,1.1015339663988313,📈 GETTING CLOSER,100,success
650,825,485,122,81,9882,1.1421475529583638,📈 GETTING CLOSER,100,success
651,828,488,116,78,9048,1.1194158075601377,📈 GETTING CLOSER,100,success
652,828,488,116,78,9048,1.0975712480696336,📈 GETTING CLOSER,100,success
653,831,491,111,74,8214,1.057422197741669,📈 GETTING CLOSER,100,success
654,829,490,116,78,9048,1.0,📉 MOVING AWAY,100,success
655,830,490,116,78,9048,0.946661550268611,📉 MOVING AWAY,0,success
656,827,487,122,81,9882,0.9644410335124072,📉 MOVING AWAY,28,success
657,827,486,122,81,9882,0.9822205167562035,📉 MOVING AWAY,64,success
658,831,488,116,78,9048,1.0181013152754266,📈 GETTING CLOSER,36,success
659,832,488,116,78,9048,1.0368700265251989,📈 GETTING CLOSER,73,success
660,833,489,116,78,9048,1.0563437373327929,📈 GETTING CLOSER,100,success
661,833,488,116,78,9048,1.0184350132625994,📈 GETTING CLOSER,36,success
662,833,490,116,78,9048,0.9818986847245736,📉 MOVING AWAY,63,success
663,832,490,116,78,9048,0.9644410335124072,📉 MOVING AWAY,28,success
664,832,490,116,78,9048,0.9644410335124072,📉 MOVING AWAY,28,success
665,834,492,111,74,8214,0.946661550268611,📉 MOVING AWAY,0,success
666,830,489,116,78,9048,0.9637973694491472,📉 MOVING AWAY,27,success
667,833,490,111,74,8214,0.963129973474801,📉 MOVING AWAY,26,success
668,835,490,111,74,8214,0.9446949602122017,📉 MOVING AWAY,0,success
669,836,489,111,74,8214,0.926259946949602,📉 MOVING AWAY,0,success
670,839,489,111,74,8214,0.9436562626672069,📉 MOVING AWAY,0,success
671,848,493,106,70,7420,0.9069945502859973,📉 MOVING AWAY,0,success
672,849,492,106,70,7420,0.9061323785917562,📉 MOVING AWAY,0,success
673,855,492,106,70,7420,0.905236557630212,📉 MOVING AWAY,0,success
674,855,492,106,70,7420,0.9043050782741505,📉 MOVING AWAY,0,success
675,857,492,106,70,7420,0.8853570064910272,📉 MOVING AWAY,0,success
676,857,492,106,70,7420,0.921144105670871,📉 MOVING AWAY,0,success
677,858,493,106,70,7420,0.939668709791804,📉 MOVING AWAY,0,success
678,859,493,106,70,7420,0.9589536807278742,📉 MOVING AWAY,17,success
679,860,493,106,70,7420,0.9790468147991767,📉 MOVING AWAY,58,success
680,862,494,101,67,6767,0.982398921832884,📉 MOVING AWAY,64,success
681,861,493,106,70,7420,0.982398921832884,📉 MOVING AWAY,64,success
682,861,493,106,70,7420,0.982398921832884,📉 MOVING AWAY,64,success
683,862,492,106,70,7420,0.982398921832884,📉 MOVING AWAY,64,success
684,863,491,106,70,7420,0.982398921832884,📉 MOVING AWAY,64,success
685,863,491,106,70,7420,1.0179164265920377,📈 GETTING CLOSER,35,success
686,864,489,106,70,7420,1.0179164265920377,📈 GETTING CLOSER,35,success
687,866,488,106,70,7420,1.0179164265920377,📈 GETTING CLOSER,35,success
688,864,485,111,74,8214,1.0397014843471342,📈 GETTING CLOSER,79,success
689,869,487,106,70,7420,1.0397014843471342,📈 GETTING CLOSER,79,success
690,870,486,106,70,7420,1.021401617250674,📈 GETTING CLOSER,42,success
691,873,485,106,70,7420,1.021401617250674,📈 GETTING CLOSER,42,success
692,874,485,106,70,7420,1.021401617250674,📈 GETTING CLOSER,42,success
