frame,pov_x,pov_y,front_x,front_y,rel_x,rel_y,tracking
171,988,795,884,502,-104,-293,success
172,988,795,885,501,-103,-294,success
173,989,796,886,501,-103,-295,success
174,988,794,887,502,-101,-292,success
175,988,795,888,501,-100,-294,success
176,987,795,888,502,-99,-293,success
177,988,793,889,503,-99,-290,success
178,987,792,890,503,-97,-289,success
179,988,793,890,503,-98,-290,success
180,988,793,891,502,-97,-291,success
181,988,793,891,503,-97,-290,success
182,987,793,891,502,-96,-291,success
183,988,794,891,502,-97,-292,success
184,989,793,891,502,-98,-291,success
185,989,793,892,502,-97,-291,success
186,990,793,892,501,-98,-292,success
187,989,792,892,500,-97,-292,success
188,989,792,892,500,-97,-292,success
189,989,792,893,499,-96,-293,success
190,989,792,893,500,-96,-292,success
191,988,792,893,500,-95,-292,success
192,989,793,894,502,-95,-291,success
193,991,794,895,502,-96,-292,success
194,992,796,895,503,-97,-293,success
195,994,796,896,503,-98,-293,success
196,998,796,897,503,-101,-293,success
197,999,795,897,503,-102,-292,success
198,996,792,898,503,-98,-289,success
199,996,791,899,503,-97,-288,success
200,996,791,899,503,-97,-288,success
201,997,793,901,503,-96,-290,success
202,997,792,901,503,-96,-289,success
203,997,791,902,503,-95,-288,success
204,998,791,903,504,-95,-287,success
205,998,793,903,504,-95,-289,success
206,998,793,903,505,-95,-288,success
207,998,793,904,506,-94,-287,success
208,999,793,905,506,-94,-287,success
209,998,793,906,506,-92,-287,success
210,998,793,906,506,-92,-287,success
211,1000,793,907,506,-93,-287,success
212,999,794,909,506,-90,-288,success
213,999,795,909,506,-90,-289,success
214,999,794,909,505,-90,-289,success
215,999,795,910,505,-89,-290,success
216,999,795,910,505,-89,-290,success
217,998,795,910,505,-88,-290,success
218,999,795,909,505,-90,-290,success
219,999,794,909,506,-90,-288,success
220,999,794,909,507,-90,-287,success
221,1000,793,909,508,-91,-285,success
222,999,793,909,508,-90,-285,success
223,1000,794,907,509,-93,-285,success
224,1001,793,906,510,-95,-283,success
225,1000,793,905,510,-95,-283,success
226,1003,793,903,510,-100,-283,success
227,1002,792,903,510,-99,-282,success
228,1002,792,900,510,-102,-282,success
229,1002,792,900,510,-102,-282,success
230,1003,792,899,510,-104,-282,success
231,1008,794,898,509,-110,-285,success
232,1005,791,897,509,-108,-282,success
233,1007,792,895,510,-112,-282,success
234,1006,792,894,510,-112,-282,success
235,1007,793,893,510,-114,-283,success
236,1007,793,892,510,-115,-283,success
237,1006,793,891,511,-115,-282,success
238,1005,793,890,512,-115,-281,success
239,1006,793,890,512,-116,-281,success
240,1005,792,889,514,-116,-278,success
241,1004,792,886,514,-118,-278,success
242,1003,792,887,514,-116,-278,success
243,1003,791,886,514,-117,-277,success
244,1003,792,886,514,-117,-278,success
245,1002,791,886,514,-116,-277,success
246,1002,793,885,514,-117,-279,success
247,1002,793,886,514,-116,-279,success
248,1000,793,886,515,-114,-278,success
249,1000,792,886,515,-114,-277,success
250,1000,793,887,515,-113,-278,success
251,1000,794,887,515,-113,-279,success
252,999,794,887,516,-112,-278,success
253,999,794,888,516,-111,-278,success
254,998,795,888,516,-110,-279,success
255,998,794,889,516,-109,-278,success
256,998,795,888,516,-110,-279,success
257,998,796,889,516,-109,-280,success
258,996,795,890,516,-106,-279,success
259,996,794,890,517,-106,-277,success
260,995,795,890,517,-105,-278,success
261,995,793,891,517,-104,-276,success
262,996,793,892,518,-104,-275,success
263,996,794,893,519,-103,-275,success
264,997,794,894,519,-103,-275,success
265,998,792,895,519,-103,-273,success
266,998,794,897,519,-101,-275,success
267,1000,794,897,519,-103,-275,success
268,999,794,898,519,-101,-275,success
269,1000,794,899,519,-101,-275,success
270,1000,794,900,519,-100,-275,success
271,1000,795,901,518,-99,-277,success
272,1000,793,901,518,-99,-275,success
273,1000,794,904,518,-96,-276,success
274,1000,793,905,518,-95,-275,success
275,1000,794,905,518,-95,-276,success
276,1000,794,908,518,-92,-276,success
277,1000,794,909,519,-91,-275,success
278,1001,794,913,519,-88,-275,success
279,1000,794,914,518,-86,-276,success
280,1000,794,916,518,-84,-276,success
281,1001,795,919,518,-82,-277,success
282,1001,795,922,518,-79,-277,success
283,1000,796,926,518,-74,-278,success
284,1000,796,928,518,-72,-278,success
285,999,795,930,518,-69,-277,success
286,999,795,933,518,-66,-277,success
287,1000,797,936,518,-64,-279,success
288,1001,796,938,518,-63,-278,success
289,1001,796,940,517,-61,-279,success
290,1002,795,940,517,-62,-278,success
291,1001,796,945,517,-56,-279,success
292,1002,796,945,517,-57,-279,success
293,1000,796,948,517,-52,-279,success
294,1000,797,951,517,-49,-280,success
295,999,797,955,517,-44,-280,success
296,999,798,957,517,-42,-281,success
297,998,797,962,516,-36,-281,success
298,999,797,966,516,-33,-281,success
299,996,797,968,516,-28,-281,success
300,997,797,969,516,-28,-281,success
301,995,797,974,517,-21,-280,success
302,996,797,976,516,-20,-281,success
303,996,798,981,516,-15,-282,success
304,995,798,983,517,-12,-281,success
305,995,798,988,516,-7,-282,success
306,994,797,990,516,-4,-281,success
307,993,798,995,517,2,-281,success
308,991,798,997,515,6,-283,success
309,992,795,1002,515,10,-280,success
310,988,793,1004,515,16,-278,success
311,991,792,1007,516,16,-276,success
312,986,794,1008,515,22,-279,success
313,990,794,1014,516,24,-278,success
314,988,795,1013,516,25,-279,success
315,986,797,1016,516,30,-281,success
316,989,798,1021,516,32,-282,success
317,990,799,1022,516,32,-283,success
318,985,796,1029,516,44,-280,success
319,984,797,1031,516,47,-281,success
320,984,796,1034,516,50,-280,success
321,983,796,1038,516,55,-280,success
322,983,795,1041,517,58,-278,success
323,984,795,1043,517,59,-278,success
324,986,797,1044,517,58,-280,success
325,989,797,1045,516,56,-281,success
326,990,803,1046,517,56,-286,success
327,1001,802,1046,516,45,-286,success
328,1118,807,1047,516,-71,-291,success
329,1008,807,1048,516,40,-291,success
330,1013,812,1050,517,37,-295,success
331,995,803,1051,515,56,-288,success
332,991,805,1052,516,61,-289,success
333,991,799,1055,516,64,-283,success
334,990,799,1056,516,66,-283,success
335,987,801,1057,516,70,-285,success
336,991,802,1060,516,69,-286,success
337,994,803,1063,516,69,-287,success
338,995,799,1065,515,70,-284,success
339,1001,799,1067,515,66,-284,success
340,1004,798,1069,515,65,-283,success
341,1004,798,1070,515,66,-283,success
342,1005,798,1071,514,66,-284,success
343,1008,798,1071,514,63,-284,success
344,1011,798,1071,514,60,-284,success
345,1010,799,1070,514,60,-285,success
346,1010,799,1070,514,60,-285,success
347,1010,799,1070,514,60,-285,success
348,1010,799,1070,514,60,-285,success
349,1010,798,1071,515,61,-283,success
350,1011,798,1071,516,60,-282,success
351,1011,797,1073,516,62,-281,success
352,1009,797,1074,517,65,-280,success
353,1013,797,1075,517,62,-280,success
354,1014,798,1075,518,61,-280,success
355,1016,798,1075,517,59,-281,success
356,1018,799,1076,517,58,-282,success
357,1020,799,1077,517,57,-282,success
358,1024,801,1077,516,53,-285,success
359,1024,801,1077,515,53,-286,success
360,1023,801,1076,514,53,-287,success
361,1022,805,1075,512,53,-293,success
362,1023,806,1075,512,52,-294,success
363,1023,808,1074,510,51,-298,success
364,1024,809,1074,510,50,-299,success
365,1029,810,1076,510,47,-300,success
366,1032,805,1078,512,46,-293,success
367,1033,805,1079,512,46,-293,success
368,1041,806,1084,513,43,-293,success
369,1039,807,1088,514,49,-293,success
370,1037,807,1090,514,53,-293,success
371,1032,806,1093,513,61,-293,success
372,1030,807,1094,513,64,-294,success
373,1031,807,1094,512,63,-295,success
374,1031,806,1096,513,65,-293,success
375,1034,806,1096,514,62,-292,success
376,1040,807,1096,515,56,-292,success
377,1041,807,1096,517,55,-290,success
378,1038,806,1095,524,57,-282,success
379,1035,804,1094,525,59,-279,success
380,1026,801,1090,531,64,-270,success
381,1021,795,1083,539,62,-256,success
382,1020,792,1078,540,58,-252,success
383,1022,791,1069,544,47,-247,success
384,1025,786,1064,545,39,-241,success
385,1030,785,1060,546,30,-239,success
386,1040,783,1050,546,10,-237,success
387,1045,782,1042,544,-3,-238,success
388,1056,784,1032,539,-24,-245,success
389,1066,790,1025,535,-41,-255,success
390,1067,794,1020,534,-47,-260,success
391,1088,791,1007,527,-81,-264,success
392,1095,792,999,520,-96,-272,success
393,1211,798,986,512,-225,-286,success
394,1177,802,980,508,-197,-294,success
395,1146,805,975,506,-171,-299,success
396,1151,804,963,500,-188,-304,success
397,1156,803,958,499,-198,-304,success
398,1203,792,952,504,-251,-288,success
399,1236,786,947,509,-289,-277,success
400,1212,763,947,513,-265,-250,success
401,1095,782,942,521,-153,-261,success
402,1108,783,940,529,-168,-254,success
403,1118,785,933,532,-185,-253,success
404,1120,786,930,534,-190,-252,success
405,1120,785,929,534,-191,-251,success
406,1114,785,922,535,-192,-250,success
407,1110,786,917,536,-193,-250,success
408,1106,784,911,537,-195,-247,success
409,1100,786,905,536,-195,-250,success
410,1097,789,903,534,-194,-255,success
411,1103,793,895,529,-208,-264,success
412,1109,799,890,527,-219,-272,success
413,1092,800,879,519,-213,-281,success
414,1090,805,873,514,-217,-291,success
415,1090,807,872,515,-218,-292,success
416,1090,808,865,507,-225,-301,success
417,1092,810,864,507,-228,-303,success
418,1092,813,861,508,-231,-305,success
419,1093,811,862,508,-231,-303,success
420,1092,811,861,509,-231,-302,success
421,1090,809,862,515,-228,-294,success
422,1085,808,862,517,-223,-291,success
423,1087,803,863,522,-224,-281,success
424,1084,799,863,523,-221,-276,success
425,1087,799,864,524,-223,-275,success
426,1086,797,864,528,-222,-269,success
427,1085,794,863,528,-222,-266,success
428,1088,792,862,529,-226,-263,success
429,1090,793,860,529,-230,-264,success
430,1092,793,860,528,-232,-265,success
431,1092,789,854,526,-238,-263,success
432,1092,791,855,526,-237,-265,success
